"82963d3","jubadz","Mon, 11 May 2020 20:27:37 +0100","fix achats clean data error message !",	 2 files changed, 5 insertions(+), 1 deletion(-)	
"a1bf79d","jubadz","Mon, 11 May 2020 20:13:23 +0100","fix achats clean data !",	 2 files changed, 14 insertions(+), 23 deletions(-)	
"eba6d2d","jubadz","Mon, 11 May 2020 18:19:47 +0100","fix payements clean_data 3",	 2 files changed, 2 insertions(+), 1 deletion(-)	
"d1a51ff","jubadz","Mon, 11 May 2020 18:16:57 +0100","fix payements clean_data 2",	 4 files changed, 12 insertions(+), 6 deletions(-)	
"80281c8","jubadz","Mon, 11 May 2020 16:26:14 +0100","fix payements clean_data",	 2 files changed, 6 insertions(+), 6 deletions(-)	
"d2b4ce1","jubadz","Mon, 11 May 2020 04:29:36 +0100","tva live update added!",	 3 files changed, 25 insertions(+), 5 deletions(-)	
"048e549","jubadz","Mon, 11 May 2020 01:20:33 +0100","global currency in table done pay & facture 2",	 7 files changed, 20 insertions(+), 5 deletions(-)	
"a602d07","jubadz","Mon, 11 May 2020 01:01:43 +0100","global currency in table done pay & facture",	 11 files changed, 55 insertions(+), 8 deletions(-)	
"09b77c4","jubadz","Sun, 10 May 2020 22:43:06 +0100","facture num payemnt added !",	 3 files changed, 2 insertions(+)	
"ae0aed6","jubadz","Sun, 10 May 2020 20:53:56 +0100","facture payements date fix !",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"46b0626","jubadz","Sun, 10 May 2020 20:37:26 +0100","facture payements date fix !",	 6 files changed, 8 insertions(+), 4 deletions(-)	
"f272647","jubadz","Sun, 10 May 2020 20:37:05 +0100","facture payements date fix !",	 1 file changed, 117 insertions(+)	
"a9c0abe","jubadz","Sun, 10 May 2020 16:34:03 +0100","achat fix bugs !",	 6 files changed, 63 insertions(+), 18 deletions(-)	
"f5a3450","jubadz","Sat, 9 May 2020 23:30:55 +0100","alert message done !",	 14 files changed, 172 insertions(+), 24 deletions(-)	
"bca428d","jubadz","Sat, 9 May 2020 19:04:18 +0100","facture payement done",	 2 files changed, 3 insertions(+), 2 deletions(-)	
"bc126a8","jubadz","Sat, 9 May 2020 18:34:12 +0100","facture payement done",	 47 files changed, 801 insertions(+), 43 deletions(-)	
"7c9f97a","jubadz","Sat, 9 May 2020 00:25:04 +0100","facture done",	 16 files changed, 428 insertions(+), 6 deletions(-)	
"facf7b8","jubadz","Fri, 8 May 2020 16:44:38 +0100","facture model added , commande delete and update & validation done",	 17 files changed, 303 insertions(+), 80 deletions(-)	
"0e45ae6","jubadz","Fri, 8 May 2020 03:50:17 +0100","orm expected error fixed !",	 2 files changed, 36 insertions(+), 17 deletions(-)	
"ff46dc3","jubadz","Thu, 7 May 2020 21:17:36 +0100","email multithreadd done",	 4 files changed, 29 insertions(+), 5 deletions(-)	
"702cca6","jubadz","Thu, 7 May 2020 18:25:38 +0100","befor rest",	 27 files changed, 323 insertions(+), 29 deletions(-)	
"7cc7f31","jubadz","Thu, 7 May 2020 06:00:53 +0100","formset bug fixed!",	 16 files changed, 589 insertions(+), 22 deletions(-)	
"816709e","jubadz","Wed, 6 May 2020 14:59:31 +0100","step2 done & pdf generation bug fixed 2",	 3 files changed, 2 insertions(+), 2 deletions(-)	
"2b2ff84","jubadz","Wed, 6 May 2020 14:30:45 +0100","step2 done & pdf generation bug fixed !",	 21 files changed, 228 insertions(+), 101 deletions(-)	
"e12f2e7","jubadz","Wed, 6 May 2020 00:38:19 +0100","inital waysiprint",	 66 files changed, 973 insertions(+), 170 deletions(-)	
"abe486c","jubadz","Tue, 5 May 2020 00:54:31 +0100","pdf initial & payment table bug fixed",	 16 files changed, 172 insertions(+), 21 deletions(-)	
"b4b4a9e","jubadz","Mon, 4 May 2020 20:29:16 +0100","payment tag added done",	 8 files changed, 22 insertions(+), 6 deletions(-)	
"03af28c","jubadz","Mon, 4 May 2020 17:23:35 +0100","payements delete done & href bug fixed",	 14 files changed, 42 insertions(+), 21 deletions(-)	
